StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6_1,Q6_2,Q6_3,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8_1,Q8_2,Q8_3,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q21,Q10_1,Q10_2,Q10_3,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q12_1,Q12_2,Q12_3,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q14_1,Q14_2,Q14_3,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16_1,Q16_2,Q16_3,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_2,Q18_3,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,survey_code
2019-01-13 05:11:21,2019-01-13 05:12:25,0,24.20.124.0,100,64,1,2019-01-13 05:12:25,R_ugCd4cqlxOBIXND,,,,,45.498504638671875,-122.7787017822265625,anonymous,EN,1,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,0,0,8.844,0,2,3,1,0,0,10.015,0,1,2,3,2.76,2.76,2.889,1,6,2,1,3,0,0,1.369,0,1,2,3,0,0,0.826,0,1,2,3,0,0,0.913,0,2,3,1,0.896,0.896,1.084,1,2,3,1,0.775,0.775,0.944,1,13582296
2019-01-13 05:00:00,2019-01-13 05:13:51,0,196.16.108.103,100,830,1,2019-01-13 05:13:51,R_XR5BdScqUkYatB7,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,1,5,4,5,4,4,3,4,3,4,3,4,4,3,3,4,3,3,4,4,4,3,4,3,3,4,4,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,5,3,19.15,142.624,147.371,46,1,3,2,0,0,259.119,0,3,1,2,0,0,126.55,0,3,1,2,3,0,0,45.188,0,3,1,2,0,0,60.034,0,1,3,2,0,0,33.071,0,2,3,1,42.005,42.005,44.776,1,3,1,2,0,0,32.665,0,75979750
2019-01-13 05:09:54,2019-01-13 05:14:25,0,71.58.235.231,100,270,1,2019-01-13 05:14:25,R_21bkJZDZ3uJXPr2,,,,,41.349395751953125,-75.9833984375,anonymous,EN,1,1,2,5,1,4,5,4,2,2,5,3,2,5,2,4,1,4,2,5,4,5,4,1,2,4,1,2,5,2,4,5,4,5,2,4,1,2,2,5,4,2,1,1,3,1.925,98.803,99.663,51,3,1,2,0,0,54.439,0,2,3,1,17.593,17.593,36.209,1,3,2,3,1,0,0,13.177,0,1,3,2,0,0,12.888,0,2,3,1,0,0,13.472,0,2,1,3,0,0,13.837,0,2,3,1,0,0,9.923,0,43170132
2019-01-13 05:05:04,2019-01-13 05:15:02,0,68.113.65.234,100,598,1,2019-01-13 05:15:03,R_1TBFWmMReFRPXfX,,,,,34.6179962158203125,-86.0561981201171875,anonymous,EN,1,2,1,5,1,3,5,5,1,4,5,5,1,5,2,3,4,5,1,1,2,5,4,1,5,3,5,4,5,1,5,4,5,5,5,5,3,1,5,2,4,2,5,1,4,10.486,376.668,379.159,44,3,1,2,0,0,41.866,0,2,1,3,0,0,25.104,0,3,2,3,1,0,0,50.861,0,2,1,3,0,0,16.714,0,2,3,1,0,0,12.65,0,2,1,3,0,0,27.679,0,2,3,1,0,0,12.74,0,43405127
2019-01-13 05:08:22,2019-01-13 05:16:09,0,24.20.124.0,100,467,1,2019-01-13 05:16:10,R_3Oj1y5jieWiCInQ,,,,,45.498504638671875,-122.7787017822265625,anonymous,EN,1,1,2,4,3,3,5,3,4,4,5,1,1,4,3,3,1,2,2,3,3,5,2,3,4,3,1,5,4,2,4,5,4,4,4,4,1,2,4,2,4,4,4,2,3,2.602,70.457,71.96,47,2,3,1,65.249,65.55,71.967,2,1,2,3,53.555,125.51,127.348,2,3,1,3,2,36.978,36.978,58.34,1,2,3,1,0,0,19.418,0,2,3,1,0,0,38.819,0,3,2,1,0,0,25.515,0,3,2,1,0,0,32.178,0,66031093
2019-01-13 04:58:55,2019-01-13 05:16:37,0,138.75.69.205,100,1061,1,2019-01-13 05:16:37,R_3L6AnKoB0YFO0Rr,,,,,1.2931060791015625,103.855804443359375,anonymous,EN,1,5,2,1,4,2,5,2,2,2,3,1,4,1,4,4,1,2,1,1,3,5,3,1,4,2,5,5,3,3,5,1,4,2,2,5,3,3,5,4,3,2,3,1,4,0,0,7.219,0,2,1,3,28.251,33.403,34.224,2,1,2,3,6.982,6.982,9.585,1,3,1,2,3,0,0,542.688,0,3,1,2,272.17,272.17,272.505,1,3,1,2,0,0,3.561,0,3,2,1,0,0,15.074,0,2,3,1,0,0,5.54,0,49454434
2019-01-13 05:10:12,2019-01-13 05:17:39,0,63.143.201.251,100,446,1,2019-01-13 05:17:39,R_yIOjFvggLExPU5j,,,,,40.6699981689453125,-73.93669891357421875,anonymous,EN,1,4,2,4,2,5,2,4,3,5,5,5,2,4,2,4,4,2,2,2,4,2,3,2,4,5,5,2,5,2,5,2,5,5,5,3,4,2,5,2,5,2,4,2,5,5.786,176.254,180.403,116,2,3,1,33.865,49.96,71.481,4,2,3,1,21.714,22.564,26.011,5,3,1,2,3,30.694,32.585,44.563,5,1,2,3,21.321,22.139,23.746,5,2,3,1,33.935,34.338,36.047,3,3,1,2,17.817,18.22,25.166,3,2,1,3,19.282,19.669,20.994,4,75433384
2019-01-13 04:58:50,2019-01-13 05:18:48,0,138.75.69.205,100,1197,1,2019-01-13 05:18:48,R_2PgSGekgwj7MGAO,,,,,1.2931060791015625,103.855804443359375,anonymous,EN,1,2,5,2,4,4,1,2,1,5,2,4,4,3,3,3,2,2,5,4,5,4,1,2,1,4,4,1,3,2,2,4,5,5,5,3,3,1,4,4,5,1,4,5,3,13.165,13.165,13.822,1,2,1,3,0,0,10.253,0,1,2,3,0,0,4.209,0,3,2,3,1,0,0,9.366,0,2,3,1,0,0,9.322,0,1,3,2,0,0,4.006,0,2,3,1,0,0,4.461,0,3,2,1,0,0,24.305,0,80614402
2019-01-13 05:15:24,2019-01-13 05:19:31,0,98.235.134.55,100,246,1,2019-01-13 05:19:31,R_2AYwFkYEaJ2AVLl,,,,,40.2781982421875,-76.7093963623046875,anonymous,EN,1,1,2,4,5,4,5,3,4,3,4,2,1,4,5,3,2,3,4,5,4,5,3,4,3,4,1,4,4,5,4,4,3,4,3,5,1,5,4,5,4,4,3,4,3,6.624,81.519,81.931,52,3,1,2,0,0,20.272,0,1,3,2,0,0,24.886,0,6,3,2,1,0,0,24.158,0,3,2,1,0,0,17.767,0,2,3,1,0,0,12.657,0,3,1,2,0,0,26.095,0,1,3,2,0,0,17.892,0,13857227
2019-01-13 05:10:02,2019-01-13 05:20:27,0,47.25.235.94,100,625,1,2019-01-13 05:20:27,R_AAmnPSahFA9GK4N,,,,,44.9225006103515625,-123.31999969482421875,anonymous,EN,1,2,2,4,1,5,1,3,1,3,5,2,1,4,4,5,4,1,2,4,5,2,1,4,3,5,4,1,4,1,5,2,4,5,4,1,2,4,4,4,5,1,3,4,5,3.33,462.971,463.63,50,3,1,2,3.122,3.938,23.739,2,1,2,3,0,0,17.955,0,3,1,3,2,0,0,15.729,0,2,3,1,0,0,18.382,0,2,3,1,0,0,25.126,0,3,1,2,0,0,27.976,0,3,2,1,0,0,18.228,0,19757199
2019-01-13 05:17:56,2019-01-13 05:22:17,0,24.61.204.167,100,261,1,2019-01-13 05:22:19,R_07LWu85i6aRemRj,,,,,42.6493072509765625,-71.33550262451171875,anonymous,EN,1,5,5,3,4,5,3,5,4,1,5,4,3,5,4,4,5,5,3,5,5,3,5,5,4,3,3,3,5,3,3,3,3,3,4,5,4,4,3,3,4,3,3,3,5,1.855,115.086,116.18,84,1,2,3,11.145,11.387,16.476,2,2,3,1,9.361,12.735,16.546,3,3,1,3,2,17.031,17.031,18.086,1,2,1,3,18.62,18.62,19.864,1,3,1,2,15.897,15.897,16.928,1,3,1,2,12.964,12.964,14.219,1,1,2,3,16.051,16.051,17.294,1,76494826
2019-01-13 05:21:45,2019-01-13 05:25:07,0,70.186.214.158,100,202,1,2019-01-13 05:25:07,R_1HcL9UDkpDAYkBs,,,,,36.763397216796875,-76.33969879150390625,anonymous,EN,1,1,2,5,1,2,5,4,2,4,2,2,2,5,2,2,2,4,3,2,2,5,4,4,4,2,1,2,4,2,2,4,4,4,4,4,1,2,5,2,2,2,4,2,1,2.231,75.284,76.239,47,3,2,1,0,0,23.759,0,3,2,1,0,0,26.457,0,5,2,3,1,19.236,19.236,23.798,1,2,1,3,0,0,6.588,0,3,2,1,0,0,5.657,0,1,2,3,0,0,13.928,0,2,3,1,0,0,6.449,0,17559055
2019-01-13 05:24:47,2019-01-13 05:29:19,0,69.132.157.85,100,270,1,2019-01-13 05:29:19,R_2uJ2LOu7fDU6ELC,,,,,35.0178070068359375,-80.537200927734375,anonymous,EN,1,2,1,5,1,5,5,5,1,4,5,5,1,5,4,5,4,5,1,4,5,5,5,1,5,5,5,1,5,1,5,5,5,5,4,5,2,1,5,2,4,1,5,1,4,3.72,72.958,74.181,44,2,1,3,0,0,44.713,0,2,1,3,0,0,30.7,0,3,2,3,1,0,0,29.025,0,3,2,1,0,0,17.675,0,2,1,3,0,0,18.516,0,2,1,3,0,0,15.804,0,1,3,2,0,0,17.838,0,48693068
2019-01-13 05:19:37,2019-01-13 05:32:11,0,24.60.247.22,100,753,1,2019-01-13 05:32:11,R_1Pe3s7o550Tfn6T,,,,,42.4290924072265625,-71.0605010986328125,anonymous,EN,1,1,1,5,4,2,5,5,1,4,2,2,1,5,2,3,2,5,1,2,3,5,5,1,4,2,1,2,5,2,3,5,5,5,3,4,2,1,5,3,2,3,4,2,3,5.268,127.863,130.073,45,3,1,2,0,0,57.368,0,1,3,2,0,0,26.224,0,3,2,3,1,0,0,69.337,0,2,1,3,131.349,131.349,133.488,1,1,3,2,0,0,124.929,0,3,1,2,0,0,23.952,0,3,2,1,0,0,153.631,0,42027206
2019-01-13 05:35:30,2019-01-13 05:40:41,0,172.92.152.254,100,311,1,2019-01-13 05:40:41,R_3shMK5fvzxjDw4T,,,,,47.67010498046875,-122.3762969970703125,anonymous,EN,1,5,2,4,1,5,4,4,2,5,5,4,2,4,1,4,3,4,2,2,5,2,4,4,5,4,2,4,4,1,4,4,5,2,5,2,2,1,3,2,5,3,4,5,3,12.575,205.31,205.996,63,2,1,3,0,0,16.923,0,1,2,3,0,0,8.878,0,3,1,2,3,9.672,9.672,21.716,1,2,3,1,0,0,5.149,0,3,2,1,0,0,13.248,0,2,1,3,0,0,11.041,0,3,1,2,17.347,17.347,18.675,1,13577398
2019-01-13 05:41:05,2019-01-13 05:48:06,0,99.45.209.46,100,420,1,2019-01-13 05:48:06,R_2y2CMKiDsAHGsr2,,,,,37.1136016845703125,-93.2895965576171875,anonymous,EN,1,4,2,5,2,4,5,5,1,1,5,3,1,5,4,4,5,5,1,5,4,5,5,1,2,3,3,4,5,5,5,5,5,5,3,5,2,2,4,5,3,1,5,3,2,5.605,124.436,125.687,47,3,1,2,0,0,49.598,0,1,2,3,0,0,65.655,0,3,2,3,1,0,0,31.11,0,3,2,1,21.004,21.004,22.006,1,2,1,3,0,0,29.043,0,3,1,2,0,0,18.259,0,2,3,1,0,0,58.438,0,27167001
2019-01-13 05:54:33,2019-01-13 06:00:13,0,73.215.32.138,100,340,1,2019-01-13 06:00:13,R_3HCxxB8VHxrnbYB,,,,,39.9651031494140625,-74.80670166015625,anonymous,EN,1,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,5,5,1,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,1,5,3.552,77.585,79.198,44,3,1,2,0,0,61.253,0,1,3,2,0,0,45.701,0,3,1,2,3,0,0,26.791,0,1,2,3,0,0,20.055,0,1,3,2,0,0,28.126,0,3,1,2,0,0,16.194,0,3,1,2,0,0,16.062,0,11551502
2019-01-13 06:00:26,2019-01-13 06:04:03,0,66.229.17.134,100,217,1,2019-01-13 06:04:03,R_21okZppDuDnkXHT,,,,,25.992095947265625,-80.27120208740234375,anonymous,EN,1,5,4,5,4,5,2,3,3,2,5,4,2,5,5,5,5,1,2,5,5,1,1,1,2,5,4,2,5,5,5,4,4,5,3,3,4,2,5,5,5,1,4,4,5,11.5,90.589,91.326,54,3,2,1,0,0,24.426,0,1,2,3,0,0,16.548,0,3,2,3,1,0,0,15.356,0,1,3,2,0,0,13.301,0,2,3,1,0,0,11.716,0,3,2,1,0,0,12.814,0,3,2,1,0,0,6.962,0,21422421
2019-01-13 05:59:26,2019-01-13 06:04:57,0,199.241.125.89,100,330,1,2019-01-13 06:04:57,R_3PY02i8hnZ9wobG,,,,,44.9741973876953125,-93.2584991455078125,anonymous,EN,1,4,2,4,1,4,2,4,2,4,4,4,2,5,2,3,4,5,1,2,3,3,4,1,4,3,4,2,3,4,3,2,5,5,3,4,4,1,4,2,4,3,4,1,3,1.519,99.394,100.732,62,1,2,3,0,0,28.511,0,1,2,3,0,0,7.116,0,5,3,2,1,0,0,56.885,0,1,3,2,29.407,29.407,30.501,1,2,3,1,0,0,18.184,0,2,3,1,0,0,17.764,0,2,3,1,0,0,34.272,0,19122741
2019-01-13 06:00:03,2019-01-13 06:04:58,0,107.77.172.91,100,295,1,2019-01-13 06:04:58,R_1etNoZ7ZxTH56zE,,,,,38.2541961669921875,-85.7593994140625,anonymous,EN,1,4,4,5,3,3,1,2,2,1,5,4,3,4,4,3,2,2,1,5,4,1,3,2,2,4,4,3,5,5,4,2,3,4,2,2,4,4,4,5,4,2,4,2,2,2.702,80.988,82.682,50,3,1,2,36.747,36.747,39.456,1,1,3,2,23.471,23.471,24.684,1,3,1,3,2,33.452,33.452,36.937,1,1,3,2,0,0,22.147,0,2,3,1,0,0,18.189,0,3,1,2,0,0,15.735,0,3,1,2,21.768,21.768,23.569,1,44150319
2019-01-13 05:59:04,2019-01-13 06:05:42,0,206.74.105.224,100,398,1,2019-01-13 06:05:43,R_3jV6XZs7oCfIEC6,,,,,34.3303985595703125,-82.336700439453125,anonymous,EN,1,2,2,5,2,4,4,5,1,4,5,4,1,5,2,4,3,4,2,2,4,5,4,1,4,4,2,2,5,2,5,4,5,4,4,3,2,1,5,2,4,1,4,3,4,3.048,111.507,112.148,48,2,1,3,0,0,63.284,0,1,2,3,0,0,66.592,0,3,,,,0,0,45.038,0,1,3,2,0,0,38.473,0,2,3,1,0,0,19.062,0,2,1,3,0,0,21.941,0,3,2,1,0,0,15.57,0,93370411
2019-01-13 05:59:17,2019-01-13 06:06:01,0,98.224.132.90,100,403,1,2019-01-13 06:06:01,R_DuXBzmENs1bSOWJ,,,,,42.2422027587890625,-83.18070220947265625,anonymous,EN,1,2,2,4,3,2,5,4,3,4,5,3,1,4,2,3,2,5,4,3,3,5,4,3,4,3,3,2,4,3,2,4,3,3,4,3,2,3,3,3,4,2,4,3,2,3.898,95.966,96.726,45,3,1,2,0,0,37.835,0,1,3,2,0,0,26.677,0,3,2,3,1,0,0,25.209,0,1,2,3,0,0,20.996,0,1,3,2,0,0,23.53,0,,,,0,0,21.791,0,2,3,1,0,0,23.315,0,74199071
2019-01-13 06:01:27,2019-01-13 06:06:05,0,74.193.103.196,100,278,1,2019-01-13 06:06:05,R_1o7KlA6Z5afRFKT,,,,,30.8224945068359375,-95.10559844970703125,anonymous,EN,1,4,2,5,1,5,4,5,3,5,5,5,1,5,4,5,5,4,2,2,5,3,5,1,5,5,5,2,5,2,5,4,5,5,5,1,5,2,5,1,5,1,3,2,4,6.741,93.338,94.946,44,3,2,1,0,0,27.128,0,1,2,3,0,0,36.923,0,3,2,3,1,0,0,30.908,0,1,3,2,0,0,16.412,0,1,2,3,0,0,16.057,0,3,1,2,0,0,16.198,0,3,1,2,0,0,16.372,0,27888976
2019-01-13 06:00:22,2019-01-13 06:10:17,0,66.168.224.37,100,594,1,2019-01-13 06:10:17,R_2sZ48xqn43PxdR2,,,,,34.589599609375,-86.98870086669921875,anonymous,EN,1,4,1,5,2,4,3,4,1,4,5,3,1,5,2,3,3,4,1,1,5,3,2,1,4,4,4,2,5,2,5,2,4,4,4,4,4,1,4,1,5,1,3,1,5,4.939,199.765,201.019,56,3,1,2,42.072,60.242,61.957,2,1,3,2,44.912,44.912,46.576,1,3,1,3,2,52.894,52.894,54.314,1,3,2,1,64.33,64.33,65.626,1,1,3,2,51.7,51.7,52.943,1,2,1,3,26.895,26.895,28.022,1,2,1,3,29.606,29.606,31.008,1,96953779
2019-01-13 06:08:26,2019-01-13 06:10:43,0,24.151.192.196,100,137,1,2019-01-13 06:10:43,R_1pA77VVBmQqThWV,,,,,34.779205322265625,-84.93389892578125,anonymous,EN,1,3,3,4,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,2,4,3,3,2,3,3,4,3,3,3,3,3,3,4,3,2,3,4,3,3,4,2,3,3,4,1.762,66.156,67.476,52,3,2,1,0,0,19.761,0,2,3,1,0,0,3.202,0,6,3,2,1,0,0,12.767,0,2,1,3,0,0,4.502,0,2,3,1,0,0,3.045,0,3,2,1,0,0,4.934,0,3,2,1,0,0,3.241,0,88705578
2019-01-13 06:06:58,2019-01-13 06:12:34,0,196.17.65.106,100,336,1,2019-01-13 06:12:34,R_1dc9wXZDT4qgHpS,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,1,4,3,5,4,3,4,5,4,3,2,4,3,5,3,4,5,4,3,2,3,4,3,5,3,4,5,4,3,2,3,5,4,5,4,3,4,2,3,4,5,4,3,2,4,7.293,190.568,198.863,44,2,3,1,0,0,20.034,0,2,3,1,0,0,5.995,0,6,1,3,2,0,0,32.789,0,3,1,2,0,0,10.179,0,3,2,1,0,0,6.177,0,2,3,1,0,0,5.493,0,3,2,1,0,0,5.816,0,38877944
2019-01-13 06:14:03,2019-01-13 06:20:58,0,66.196.11.56,100,415,1,2019-01-13 06:20:58,R_Atips2XDjQEYOKl,,,,,31.0709991455078125,-97.389801025390625,anonymous,EN,1,2,4,4,4,3,5,2,2,4,4,1,2,4,4,3,2,2,4,4,3,5,1,5,4,3,2,4,4,4,3,4,3,4,4,5,1,2,5,4,4,3,2,4,3,3.858,111.11,112.783,51,3,1,2,11.921,18.093,58.767,5,1,2,3,57.279,64.979,68.419,4,3,1,3,2,0,0,29.997,0,3,2,1,0,0,56.153,0,2,1,3,0,0,23.564,0,3,1,2,0,0,14.018,0,1,2,3,0,0,22.456,0,32271138
2019-01-13 06:08:26,2019-01-13 06:23:29,0,108.16.133.25,100,902,1,2019-01-13 06:23:29,R_1JY3WS2QVTqoPuZ,,,,,39.1605072021484375,-75.5973968505859375,anonymous,EN,1,4,4,4,2,3,3,2,3,4,4,3,4,4,4,4,3,2,3,2,3,3,2,3,4,3,4,4,4,4,3,3,3,4,4,3,3,4,4,2,4,3,3,3,4,2.426,62.952,64.268,52,2,1,3,12.442,28.152,32.15,4,1,2,3,2.068,15.532,30.258,2,3,2,3,1,0,0,29.694,0,3,2,1,0,0,34.824,0,2,3,1,0,0,23.814,0,2,1,3,6.31,7.216,21.9,2,3,1,2,0,0,20.054,0,96727318
2019-01-13 06:20:37,2019-01-13 06:26:46,0,74.98.207.149,100,368,1,2019-01-13 06:26:46,R_25s9lrdf7mrHSF8,,,,,40.3925933837890625,-79.9051971435546875,anonymous,EN,1,2,1,5,1,4,4,5,1,2,4,4,1,5,4,5,3,4,2,5,4,4,3,1,4,4,3,1,5,2,4,4,5,5,3,4,2,1,5,4,4,2,3,2,1,7.223,106.633,107.885,55,3,2,1,0,0,28.18,0,1,3,2,0,0,32.131,0,3,1,2,3,0,0,36.58,0,2,3,1,0,0,48.477,0,,,,0,0,25.012,0,2,1,3,0,0,31.932,0,3,2,1,0,0,20.47,0,62236851
2019-01-13 07:01:44,2019-01-13 07:07:42,0,174.109.224.106,100,358,1,2019-01-13 07:07:43,R_3oSHWkXqxsX2hG0,,,,,36.122406005859375,-78.68609619140625,anonymous,EN,1,2,4,4,2,2,5,4,1,4,5,3,2,5,2,3,2,4,1,2,3,5,5,2,2,3,2,4,5,2,4,5,4,5,4,2,2,2,5,3,4,4,4,4,4,5.214,159.366,160.071,50,3,1,2,0,0,29.36,0,1,3,2,0,0,25.741,0,3,1,3,2,0,0,42.493,0,1,3,2,0,0,18.992,0,3,2,1,0,0,38.29,0,,,,0,0,12.755,0,2,1,3,0,0,13.984,0,39954380
